district_id,district_name,state_name
582,Adilabad,Telangana
320,Agar,Madhya Pradesh
796,Agatti Island,Lakshadweep
622,Agra,Uttar Pradesh
154,Ahmedabad,Gujarat
770,Ahmedabad Corporation,Gujarat
391,Ahmednagar,Maharashtra
425,Aizawl East,Mizoram
426,Aizawl West,Mizoram
507,Ajmer,Rajasthan
364,Akola,Maharashtra
301,Alappuzha,Kerala
623,Aligarh,Uttar Pradesh
710,Alipurduar District,West Bengal
357,Alirajpur,Madhya Pradesh
704,Almora,Uttarakhand
512,Alwar,Rajasthan
193,Ambala,Haryana
625,Ambedkar Nagar,Uttar Pradesh
626,Amethi,Uttar Pradesh
366,Amravati,Maharashtra
174,Amreli,Gujarat
485,Amritsar,Punjab
627,Amroha,Uttar Pradesh
179,Anand,Gujarat
9,Anantapur,Andhra Pradesh
224,Anantnag,Jammu and Kashmir
445,Angul,Odisha
22,Anjaw,Arunachal Pradesh
334,Anuppur,Madhya Pradesh
779,Aranthangi,Tamil Nadu
74,Araria,Bihar
158,Aravalli,Gujarat
555,Ariyalur,Tamil Nadu
78,Arwal,Bihar
354,Ashoknagar,Madhya Pradesh
578,Attur,Tamil Nadu
628,Auraiya,Uttar Pradesh
77,Aurangabad,Bihar
397,Aurangabad ,Maharashtra
646,Ayodhya,Uttar Pradesh
629,Azamgarh,Uttar Pradesh
294,BBMP,Karnataka
630,Badaun,Uttar Pradesh
270,Bagalkot,Karnataka
707,Bageshwar,Uttarakhand
631,Baghpat,Uttar Pradesh
632,Bahraich,Uttar Pradesh
46,Baksa,Assam
338,Balaghat,Madhya Pradesh
448,Balangir,Odisha
633,Balarampur,Uttar Pradesh
447,Balasore,Odisha
634,Ballia,Uttar Pradesh
110,Balod,Chhattisgarh
111,Baloda bazar,Chhattisgarh
112,Balrampur,Chhattisgarh
159,Banaskantha,Gujarat
635,Banda,Uttar Pradesh
223,Bandipore,Jammu and Kashmir
276,Bangalore Rural,Karnataka
265,Bangalore Urban,Karnataka
83,Banka,Bihar
711,Bankura,West Bengal
519,Banswara,Rajasthan
636,Barabanki,Uttar Pradesh
225,Baramulla,Jammu and Kashmir
516,Baran,Rajasthan
637,Bareilly,Uttar Pradesh
472,Bargarh,Odisha
528,Barmer,Rajasthan
483,Barnala,Punjab
47,Barpeta,Assam
343,Barwani,Madhya Pradesh
712,Basirhat HD (North 24 Parganas),West Bengal
113,Bastar,Chhattisgarh
638,Basti,Uttar Pradesh
493,Bathinda,Punjab
384,Beed,Maharashtra
98,Begusarai,Bihar
264,Belgaum,Karnataka
274,Bellary,Karnataka
114,Bemetara,Chhattisgarh
362,Betul,Madhya Pradesh
687,Bhadohi,Uttar Pradesh
583,Bhadradri Kothagudem,Telangana
454,Bhadrak,Odisha
82,Bhagalpur,Bihar
370,Bhandara,Maharashtra
508,Bharatpur,Rajasthan
180,Bharuch,Gujarat
175,Bhavnagar,Gujarat
771,Bhavnagar Corporation,Gujarat
523,Bhilwara,Rajasthan
351,Bhind,Madhya Pradesh
200,Bhiwani,Haryana
99,Bhojpur,Bihar
312,Bhopal,Madhya Pradesh
272,Bidar,Karnataka
115,Bijapur,Chhattisgarh
639,Bijnour,Uttar Pradesh
501,Bikaner,Rajasthan
219,Bilaspur,Himachal Pradesh
116,Bilaspur,Chhattisgarh
713,Birbhum,West Bengal
398,Bishnupur,Manipur
714,Bishnupur HD (Bankura),West Bengal
765,Biswanath,Assam
242,Bokaro,Jharkhand
57,Bongaigaon,Assam
176,Botad,Gujarat
468,Boudh,Odisha
229,Budgam,Jammu and Kashmir
640,Bulandshahr,Uttar Pradesh
367,Buldhana,Maharashtra
514,Bundi,Rajasthan
342,Burhanpur,Madhya Pradesh
100,Buxar,Bihar
783,COOCHBEHAR,West Bengal
66,Cachar,Assam
141,Central Delhi,Delhi
271,Chamarajanagar,Karnataka
214,Chamba,Himachal Pradesh
699,Chamoli,Uttarakhand
708,Champawat,Uttarakhand
429,Champhai,Mizoram
641,Chandauli,Uttar Pradesh
399,Chandel,Manipur
108,Chandigarh,Chandigarh
380,Chandrapur,Maharashtra
20,Changlang,Arunachal Pradesh
766,Charaideo,Assam
201,Charkhi Dadri,Haryana
245,Chatra,Jharkhand
565,Chengalpet,Tamil Nadu
571,Chennai,Tamil Nadu
778,Cheyyar,Tamil Nadu
328,Chhatarpur,Madhya Pradesh
337,Chhindwara,Madhya Pradesh
181,Chhotaudepur,Gujarat
273,Chikamagalur,Karnataka
291,Chikkaballapur,Karnataka
58,Chirang,Assam
268,Chitradurga,Karnataka
642,Chitrakoot,Uttar Pradesh
10,Chittoor,Andhra Pradesh
521,Chittorgarh,Rajasthan
400,Churachandpur,Manipur
530,Churu,Rajasthan
539,Coimbatore,Tamil Nadu
715,Cooch Behar,West Bengal
547,Cuddalore,Tamil Nadu
457,Cuttack,Odisha
137,Dadra and Nagar Haveli,Dadra and Nagar Haveli
182,Dahod,Gujarat
716,Dakshin Dinajpur,West Bengal
269,Dakshina Kannada,Karnataka
138,Daman,Daman and Diu
327,Damoh,Madhya Pradesh
163,Dang,Gujarat
117,Dantewada,Chhattisgarh
94,Darbhanga,Bihar
717,Darjeeling,West Bengal
48,Darrang,Assam
350,Datia,Madhya Pradesh
511,Dausa,Rajasthan
275,Davanagere,Karnataka
697,Dehradun,Uttarakhand
473,Deogarh,Odisha
253,Deoghar,Jharkhand
643,Deoria,Uttar Pradesh
168,Devbhumi Dwaraka,Gujarat
324,Dewas,Madhya Pradesh
614,Dhalai,Tripura
118,Dhamtari,Chhattisgarh
257,Dhanbad,Jharkhand
341,Dhar,Madhya Pradesh
566,Dharmapuri,Tamil Nadu
278,Dharwad,Karnataka
62,Dhemaji,Assam
458,Dhenkanal,Odisha
524,Dholpur,Rajasthan
59,Dhubri,Assam
388,Dhule,Maharashtra
718,Diamond Harbor HD (S 24 Parganas),West Bengal
25,Dibang Valley,Arunachal Pradesh
43,Dibrugarh,Assam
67,Dima Hasao,Assam
434,Dimapur,Nagaland
556,Dindigul,Tamil Nadu
336,Dindori,Madhya Pradesh
139,Diu,Daman and Diu
232,Doda,Jammu and Kashmir
258,Dumka,Jharkhand
520,Dungarpur,Rajasthan
119,Durg,Chhattisgarh
719,East Bardhaman,West Bengal
105,East Champaran,Bihar
145,East Delhi,Delhi
424,East Garo Hills,Meghalaya
11,East Godavari,Andhra Pradesh
418,East Jaintia Hills,Meghalaya
23,East Kameng,Arunachal Pradesh
414,East Khasi Hills,Meghalaya
42,East Siang,Arunachal Pradesh
535,East Sikkim,Sikkim
247,East Singhbhum,Jharkhand
307,Ernakulam,Kerala
563,Erode,Tamil Nadu
644,Etah,Uttar Pradesh
645,Etawah,Uttar Pradesh
199,Faridabad,Haryana
499,Faridkot,Punjab
647,Farrukhabad,Uttar Pradesh
196,Fatehabad,Haryana
484,Fatehgarh Sahib,Punjab
648,Fatehpur,Uttar Pradesh
487,Fazilka,Punjab
480,Ferozpur,Punjab
649,Firozabad,Uttar Pradesh
280,Gadag,Karnataka
379,Gadchiroli,Maharashtra
467,Gajapati,Odisha
228,Ganderbal,Jammu and Kashmir
153,Gandhinagar,Gujarat
772,Gandhinagar Corporation,Gujarat
449,Ganjam,Odisha
243,Garhwa,Jharkhand
120,Gariaband,Chhattisgarh
136,Gaurela Pendra Marwahi ,Chhattisgarh
650,Gautam Buddha Nagar,Uttar Pradesh
79,Gaya,Bihar
651,Ghaziabad,Uttar Pradesh
652,Ghazipur,Uttar Pradesh
177,Gir Somnath,Gujarat
256,Giridih,Jharkhand
60,Goalpara,Assam
262,Godda,Jharkhand
53,Golaghat,Assam
615,Gomati,Tripura
653,Gonda,Uttar Pradesh
378,Gondia,Maharashtra
104,Gopalganj,Bihar
654,Gorakhpur,Uttar Pradesh
267,Gulbarga,Karnataka
251,Gumla,Jharkhand
348,Guna,Madhya Pradesh
5,Guntur,Andhra Pradesh
489,Gurdaspur,Punjab
188,Gurgaon,Haryana
313,Gwalior,Madhya Pradesh
68,Hailakandi,Assam
655,Hamirpur,Uttar Pradesh
217,Hamirpur,Himachal Pradesh
517,Hanumangarh,Rajasthan
656,Hapur,Uttar Pradesh
361,Harda,Madhya Pradesh
657,Hardoi,Uttar Pradesh
702,Haridwar,Uttarakhand
289,Hassan,Karnataka
658,Hathras,Uttar Pradesh
279,Haveri,Karnataka
255,Hazaribagh,Jharkhand
386,Hingoli,Maharashtra
191,Hisar,Haryana
764,Hojai,Assam
720,Hoogly,West Bengal
360,Hoshangabad,Madhya Pradesh
481,Hoshiarpur,Punjab
721,Howrah,West Bengal
581,Hyderabad,Telangana
306,Idukki,Kerala
401,Imphal East,Manipur
402,Imphal West,Manipur
314,Indore,Madhya Pradesh
17,Itanagar Capital Complex,Arunachal Pradesh
315,Jabalpur,Madhya Pradesh
459,Jagatsinghpur,Odisha
