name,state_name,district_name,pincode,fee_type,vaccine_fees
Resaldar Baba Doranda,Jharkhand,Ranchi,834001,Free,
SEVA SADAN,Jharkhand,Ranchi,834001,Paid,
TAMAR PANCHAYAT,Jharkhand,Ranchi,835225,Free,
GURUDWARA PISKA MORE,Jharkhand,Ranchi,834005,Free,
NAMKUM PANCHYAT,Jharkhand,Ranchi,834010,Free,
DSP HQ,Jharkhand,Ranchi,834001,Free,
BOOTI GOVT SCHOOL,Jharkhand,Ranchi,834001,Free,
CHANHO PANCHYAT,Jharkhand,Ranchi,835214,Free,
BURMU CHC,Jharkhand,Ranchi,835214,Free,
ORMANJHI CHC,Jharkhand,Ranchi,835219,Free,
HEC WELNES CENTRE,Jharkhand,Ranchi,834004,Free,
NEW BIDHAN SABHA,Jharkhand,Ranchi,834004,Free,
SADAR HOSPITAL CAMPUS 1,Jharkhand,Ranchi,834001,Free,
DEV KAMAK HOSPITAL 1,Jharkhand,Ranchi,834005,Paid,"[{'vaccine': 'COVISHIELD', 'fee': '250'}]"
JAP 1 DORANDA RANCHI,Jharkhand,Ranchi,834001,Free,
Devkaml Hospital,Jharkhand,Ranchi,834001,Paid,"[{'vaccine': 'COVAXIN', 'fee': '250'}]"
HARMU HOSPITAL,Jharkhand,Ranchi,834002,Paid,
SILLI CHC,Jharkhand,Ranchi,835012,Free,
SADAR HOSPITAL (P.P.),Jharkhand,Ranchi,834001,Free,
GOVT MIDDLE SCHOOL DHOBI GHAT,Jharkhand,Ranchi,834002,Free,
RESALDAR 1,Jharkhand,Ranchi,834002,Free,
SADAR HOSPITAL SITE2,Jharkhand,Ranchi,834001,Free,
JAIL HOTWAR,Jharkhand,Ranchi,835217,Free,
COMMUNITY CENTRE ASHOKE NAGER,Jharkhand,Ranchi,834002,Free,
HEALTH POINT,Jharkhand,Ranchi,834009,Paid,
KALAKENDRA MECON,Jharkhand,Ranchi,834001,Free,
RED CROSS HOS.,Jharkhand,Ranchi,834001,Free,
BERO CHC,Jharkhand,Ranchi,835202,Free,
GOVT HIGH SCHOOL HATIYA,Jharkhand,Ranchi,834003,Free,
ORCHID HOSPITAL,Jharkhand,Ranchi,834001,Paid,
HOPE DIAGNOSTICS CENTRE,Jharkhand,Ranchi,834009,Paid,"[{'vaccine': 'COVAXIN', 'fee': '250'}]"
UPHC CHUTIA,Jharkhand,Ranchi,834001,Free,
HARSHIT HOSPITAL,Jharkhand,Ranchi,835222,Paid,"[{'vaccine': 'COVAXIN', 'fee': '250'}]"
NEPAL HOUSE,Jharkhand,Ranchi,834002,Free,
PRABHAT KHABR,Jharkhand,Ranchi,834001,Free,
PROJECT BUILDING DHURWA,Jharkhand,Ranchi,834004,Free,
RIMS 2,Jharkhand,Ranchi,834001,Free,
POLICE LINE 1,Jharkhand,Ranchi,834006,Free,
SONAHATU CHC,Jharkhand,Ranchi,835204,Free,
KANKE PANCHYAT,Jharkhand,Ranchi,834006,Free,
RAILWAY HOSPITAL HATIA,Jharkhand,Ranchi,834001,Free,
NAMKUM CHC,Jharkhand,Ranchi,834010,Free,
LAPUNG PANCHYAT,Jharkhand,Ranchi,835234,Free,
RATU CHC,Jharkhand,Ranchi,835222,Free,
Angara CHC,Jharkhand,Ranchi,834006,Free,
LAPUNG CHC,Jharkhand,Ranchi,835234,Free,
MANDAR CHC,Jharkhand,Ranchi,835214,Free,
THE 7 PLAMS HOSPITAL,Jharkhand,Ranchi,835303,Paid,"[{'vaccine': 'COVISHIELD', 'fee': '250'}]"
RATU PANCHYAT,Jharkhand,Ranchi,835222,Free,
TAMAR CHC,Jharkhand,Ranchi,835225,Free,
BURMU COVAXIN,Jharkhand,Ranchi,835214,Free,
CHANHO CHC,Jharkhand,Ranchi,835214,Free,
RIMS Ranchi Covaxin,Jharkhand,Ranchi,834001,Free,
BERO ITKI PANCHYAT,Jharkhand,Ranchi,835301,Free,
KANKE CHC,Jharkhand,Ranchi,834006,Free,
DN PRASAD EYE CENTRE,Jharkhand,Ranchi,834001,Paid,
BUNDU CHC,Jharkhand,Ranchi,835204,Free,
RAILWAY HOSPITAL MURI,Jharkhand,Ranchi,835101,Free,
CLINIC APOLLO,Jharkhand,Ranchi,834009,Paid,
ST. BARNABAS HOSPITAL,Jharkhand,Ranchi,834001,Paid,"[{'vaccine': 'COVISHIELD', 'fee': '250'}]"
