district_id,district_name
582,Adilabad
320,Agar
796,Agatti Island
622,Agra
154,Ahmedabad
770,Ahmedabad Corporation
391,Ahmednagar
425,Aizawl East
426,Aizawl West
507,Ajmer
364,Akola
301,Alappuzha
623,Aligarh
710,Alipurduar District
357,Alirajpur
704,Almora
512,Alwar
193,Ambala
625,Ambedkar Nagar
626,Amethi
366,Amravati
174,Amreli
485,Amritsar
627,Amroha
179,Anand
9,Anantapur
224,Anantnag
445,Angul
22,Anjaw
334,Anuppur
779,Aranthangi
74,Araria
158,Aravalli
555,Ariyalur
78,Arwal
354,Ashoknagar
578,Attur
628,Auraiya
77,Aurangabad
397,Aurangabad 
646,Ayodhya
629,Azamgarh
294,BBMP
630,Badaun
270,Bagalkot
707,Bageshwar
631,Baghpat
632,Bahraich
46,Baksa
338,Balaghat
448,Balangir
633,Balarampur
447,Balasore
634,Ballia
110,Balod
111,Baloda bazar
112,Balrampur
159,Banaskantha
635,Banda
223,Bandipore
276,Bangalore Rural
265,Bangalore Urban
83,Banka
711,Bankura
519,Banswara
636,Barabanki
225,Baramulla
516,Baran
637,Bareilly
472,Bargarh
528,Barmer
483,Barnala
47,Barpeta
343,Barwani
712,Basirhat HD (North 24 Parganas)
113,Bastar
638,Basti
493,Bathinda
384,Beed
98,Begusarai
264,Belgaum
274,Bellary
114,Bemetara
362,Betul
687,Bhadohi
583,Bhadradri Kothagudem
454,Bhadrak
82,Bhagalpur
370,Bhandara
508,Bharatpur
180,Bharuch
175,Bhavnagar
771,Bhavnagar Corporation
523,Bhilwara
351,Bhind
200,Bhiwani
99,Bhojpur
312,Bhopal
272,Bidar
115,Bijapur
639,Bijnour
501,Bikaner
219,Bilaspur
116,Bilaspur
713,Birbhum
398,Bishnupur
714,Bishnupur HD (Bankura)
765,Biswanath
242,Bokaro
57,Bongaigaon
176,Botad
468,Boudh
229,Budgam
640,Bulandshahr
367,Buldhana
514,Bundi
342,Burhanpur
100,Buxar
783,COOCHBEHAR
66,Cachar
141,Central Delhi
271,Chamarajanagar
214,Chamba
699,Chamoli
708,Champawat
429,Champhai
641,Chandauli
399,Chandel
108,Chandigarh
380,Chandrapur
20,Changlang
766,Charaideo
201,Charkhi Dadri
245,Chatra
565,Chengalpet
571,Chennai
778,Cheyyar
328,Chhatarpur
337,Chhindwara
181,Chhotaudepur
273,Chikamagalur
291,Chikkaballapur
58,Chirang
268,Chitradurga
642,Chitrakoot
10,Chittoor
521,Chittorgarh
400,Churachandpur
530,Churu
539,Coimbatore
715,Cooch Behar
547,Cuddalore
457,Cuttack
137,Dadra and Nagar Haveli
182,Dahod
716,Dakshin Dinajpur
269,Dakshina Kannada
138,Daman
327,Damoh
163,Dang
117,Dantewada
94,Darbhanga
717,Darjeeling
48,Darrang
350,Datia
511,Dausa
275,Davanagere
697,Dehradun
473,Deogarh
253,Deoghar
643,Deoria
168,Devbhumi Dwaraka
324,Dewas
614,Dhalai
118,Dhamtari
257,Dhanbad
341,Dhar
566,Dharmapuri
278,Dharwad
62,Dhemaji
458,Dhenkanal
524,Dholpur
59,Dhubri
388,Dhule
718,Diamond Harbor HD (S 24 Parganas)
25,Dibang Valley
43,Dibrugarh
67,Dima Hasao
434,Dimapur
556,Dindigul
336,Dindori
139,Diu
232,Doda
258,Dumka
520,Dungarpur
119,Durg
719,East Bardhaman
105,East Champaran
145,East Delhi
424,East Garo Hills
11,East Godavari
418,East Jaintia Hills
23,East Kameng
414,East Khasi Hills
42,East Siang
535,East Sikkim
247,East Singhbhum
307,Ernakulam
563,Erode
644,Etah
645,Etawah
199,Faridabad
499,Faridkot
647,Farrukhabad
196,Fatehabad
484,Fatehgarh Sahib
648,Fatehpur
487,Fazilka
480,Ferozpur
649,Firozabad
280,Gadag
379,Gadchiroli
467,Gajapati
228,Ganderbal
153,Gandhinagar
772,Gandhinagar Corporation
449,Ganjam
243,Garhwa
120,Gariaband
136,Gaurela Pendra Marwahi 
650,Gautam Buddha Nagar
79,Gaya
651,Ghaziabad
652,Ghazipur
177,Gir Somnath
256,Giridih
60,Goalpara
262,Godda
53,Golaghat
615,Gomati
653,Gonda
378,Gondia
104,Gopalganj
654,Gorakhpur
267,Gulbarga
251,Gumla
348,Guna
5,Guntur
489,Gurdaspur
188,Gurgaon
313,Gwalior
68,Hailakandi
655,Hamirpur
217,Hamirpur
517,Hanumangarh
656,Hapur
361,Harda
657,Hardoi
702,Haridwar
289,Hassan
658,Hathras
279,Haveri
255,Hazaribagh
386,Hingoli
191,Hisar
764,Hojai
720,Hoogly
360,Hoshangabad
481,Hoshiarpur
721,Howrah
581,Hyderabad
306,Idukki
401,Imphal East
402,Imphal West
314,Indore
17,Itanagar Capital Complex
315,Jabalpur
459,Jagatsinghpur
584,Jagtial
505,Jaipur I
506,Jaipur II
527,Jaisalmer
460,Jajpur
492,Jalandhar
659,Jalaun
390,Jalgaon
396,Jalna
533,Jalore
722,Jalpaiguri
230,Jammu
169,Jamnagar
773,Jamnagar Corporation
259,Jamtara
107,Jamui
585,Jangaon
121,Janjgir-Champa
122,Jashpur
660,Jaunpur
586,Jayashankar Bhupalpally
91,Jehanabad
340,Jhabua
189,Jhajjar
515,Jhalawar
661,Jhansi
723,Jhargram
474,Jharsuguda
510,Jhunjhunu
204,Jind
410,Jiribam
502,Jodhpur
587,Jogulamba Gadwal
54,Jorhat
178,Junagadh
774,Junagadh Corporation
80,Kaimur
190,Kaithal
413,Kakching
464,Kalahandi
724,Kalimpong
552,Kallakurichi
588,Kamareddy
409,Kamjong
24,Kamle
49,Kamrup Metropolitan
50,Kamrup Rural
557,Kanchipuram
450,Kandhamal
408,Kangpokpi
213,Kangra
123,Kanker
662,Kannauj
297,Kannur
663,Kanpur Dehat
664,Kanpur Nagar
544,Kanyakumari
479,Kapurthala
476,Karaikal
525,Karauli
51,Karbi-Anglong
309,Kargil
69,Karimganj
589,Karimnagar
203,Karnal
559,Karur
295,Kasaragod
665,Kasganj
234,Kathua
75,Katihar
353,Katni
666,Kaushambi
135,Kawardha
461,Kendrapara
455,Kendujhar
101,Khagaria
590,Khammam
339,Khandwa
344,Khargone
156,Kheda
616,Khowai
252,Khunti
446,Khurda
216,Kinnaur
444,Kiphire
76,Kishanganj
231,Kishtwar
283,Kodagu
241,Koderma
441,Kohima
61,Kokrajhar
277,Kolar
428,Kolasib
371,Kolhapur
725,Kolkata
298,Kollam
124,Kondagaon
282,Koppal
451,Koraput
125,Korba
126,Koriya
503,Kota
304,Kottayam
780,Kovilpatti
305,Kozhikode
27,Kra Daadi
4,Krishna
562,Krishnagiri
221,Kulgam
211,Kullu
591,Kumuram Bheem
226,Kupwara
